symbol,maturityDate,interestPayable,interestDate1,interestDate2
SGBNOV23,11/30/2023,2.75,11/30/2023,5/30/2024
SGBFEB24,2/8/2024,2.75,2/8/2024,8/8/2024
SGBMAR24,3/29/2024,2.75,3/29/2024,9/29/2024
SGBAUG24,8/5/2024,2.75,8/5/2024,2/5/2025
SGBSEP24,9/30/2024,2.75,9/30/2024,3/30/2025
SGBNOV24,11/17/2024,2.5,11/17/2024,5/17/2025
SGBMAR25,3/17/2025,2.5,3/17/2025,9/17/2025
SGBMAY25,5/12/2025,2.5,5/12/2025,11/12/2025
SGBJUL25,7/28/2025,2.5,7/28/2025,1/28/2026
SGBOCT25,10/16/2025,2.5,10/16/2025,4/16/2026
SGBOCT25IV,10/23/2025,2.5,10/23/2025,4/23/2026
SGBOCT25V,10/30/2025,2.5,10/30/2025,4/30/2026
SGBNOV25VI,11/6/2025,2.5,11/6/2025,5/6/2026
SGBNOV25,11/13/2025,2.5,11/13/2025,5/13/2026
SGBNOV258,11/20/2025,2.5,11/20/2025,5/20/2026
SGBNOV25IX,11/27/2025,2.5,11/27/2025,5/27/2026
SGBDEC25,12/4/2025,2.5,12/4/2025,6/4/2026
SGBDEC25XI,12/11/2025,2.5,12/11/2025,6/11/2026
SGBDEC2512,12/18/2025,2.5,12/18/2025,6/18/2026
SGBDEC2513,12/26/2025,2.5,12/26/2025,6/26/2026
SGBJAN26,1/1/2026,2.5,1/1/2026,7/1/2026
SGBMAY26,5/4/2026,2.5,5/4/2026,11/4/2026
SGBOCT26,10/23/2026,2.5,10/23/2026,4/23/2027
SGBNOV26,11/13/2026,2.5,11/13/2026,5/13/2027
SGBDEC26,1/1/2027,2.5,1/1/2027,7/1/2027
SGBJAN27,1/22/2027,2.5,1/22/2027,7/22/2027
SGBFEB27,2/12/2027,2.5,2/12/2027,8/12/2027
SGBJUN27,6/11/2027,2.5,6/11/2027,12/11/2027
SGBJUL27,7/16/2027,2.5,7/16/2027,1/16/2028
SGBAUG27,8/14/2027,2.5,8/14/2027,2/14/2028
SGBSEP27,9/17/2027,2.5,9/17/2027,3/17/2028
SGBOCT27,10/15/2027,2.5,10/15/2027,4/15/2028
SGBOCT27VI,10/30/2027,2.5,10/30/2027,4/30/2028
SGBDC27VII,12/10/2027,2.5,12/10/2027,6/10/2028
SGBJ28VIII,1/21/2028,2.5,1/21/2028,7/21/2028
SGBFEB28IX,2/11/2028,2.5,2/11/2028,8/11/2028
SGBMAR28X,3/11/2028,2.5,3/11/2028,9/11/2028
SGBAPR28I,4/28/2028,2.5,4/28/2028,10/28/2028
SGBMAY28,5/19/2028,2.5,5/19/2028,11/19/2028
SGBJUN28,6/16/2028,2.5,6/16/2028,12/16/2028
SGBJUL28IV,7/14/2028,2.5,7/14/2028,1/14/2029
SGBAUG28V,8/11/2028,2.5,8/11/2028,2/11/2029
SGBSEP28VI,9/8/2028,2.5,9/8/2028,3/8/2029
SGBOC28VII,10/20/2028,2.5,10/20/2028,4/20/2029
SGBN28VIII,11/18/2028,2.5,11/18/2028,5/18/2029
SGBJAN29IX,1/5/2029,2.5,1/5/2029,7/5/2029
SGBJAN29X,1/19/2029,2.5,1/19/2029,7/19/2029
SGBFEB29XI,2/9/2029,2.5,2/9/2029,8/9/2029
SGBMR29XII,3/9/2029,2.5,3/9/2029,9/9/2029
SGBMAY29I,5/25/2029,2.5,5/25/2029,11/25/2029
SGBJUN29II,6/1/2029,2.5,6/1/2029,12/1/2029
SGBJU29III,6/8/2029,2.5,6/8/2029,12/8/2029
SGBJUL29IV,7/20/2029,2.5,7/20/2029,1/20/2030
SGBAUG29V,8/17/2029,2.5,8/17/2029,2/17/2030
SGBSEP29VI,9/7/2029,2.5,9/7/2029,3/7/2030
SGBNV29VII,11/2/2029,2.5,11/2/2029,5/2/2030
SGBD29VIII,12/7/2029,2.5,12/7/2029,6/7/2030
SGBJAN30IX,1/18/2030,2.5,1/18/2030,7/18/2030
